x,y,z
7.162987977902621,4.135552240043164,2.9242755887194507
4.775319019514666,2.7570348266954428,1.9495170591463002
9.550656936290578,5.5140696533908855,6.823309707012051
7.162987977902622,4.135552240043165,5.8485511774389005
9.550656936290578,8.271104480086327,2.9242755887194507
7.162987977902622,6.892587066738606,1.9495170591463002
11.938325894678533,9.649621893434048,6.823309707012051
9.550656936290578,8.27110448008633,5.8485511774389005
11.938306997417287,4.135552240043164,2.9242755887194507
9.550638039029332,2.7570348266954428,1.9495170591463002
14.325975955805244,5.5140696533908855,6.823309707012051
11.938306997417289,4.135552240043165,5.8485511774389005
14.325975955805244,8.271104480086327,2.9242755887194507
11.938306997417289,6.892587066738606,1.9495170591463002
16.7136449141932,9.649621893434048,6.823309707012051
14.325975955805244,8.27110448008633,5.8485511774389005
