coul,exch,kin,solvent,nuc_att_glob,nuc_att_loc,nuc_att,xc,el,struct,tot,charge_atom
1.2406604357392346,-0.4435152663350088,1.9988720151391828,0.0,-0.500624284359314,-2.0284642046396377,0.0,0.0,0.26692869554445675,-0.08856027994325388,0.17836841560120287,0.23012153932276447
1.2416545204198248,-0.44372576802673325,2.000272688349013,0.0,-0.5006349611995093,-2.029863544808258,0.0,0.0,0.2677029347343378,-0.08854859084067168,0.17915434389366613,0.23040856307009816
28.946486617131043,-10.205824442411597,95.79850175458476,0.0,-96.00264929485898,-94.47225479269974,0.0,0.0,-75.93574015825452,-22.830769034181266,-98.76650919243579,-0.22815087770785603
28.948743943241205,-10.206593826187468,95.80201127149073,0.0,-96.00266184092007,-94.47574193560946,0.0,0.0,-75.93424238798507,-22.830757054229807,-98.76499944221487,-0.22817152104232896
1.2412763595215202,-0.4436804562913485,1.999749894635349,0.0,-0.5006242947041886,-2.029377328364871,0.0,0.0,0.2673441747964609,-0.08856027994325422,0.17878389485320667,0.22983102002810019
1.2414666228667264,-0.44379764283379586,2.000141766183446,0.0,-0.5006349630704992,-2.029732767158544,0.0,0.0,0.2674430159873338,-0.0885485908406719,0.17889442514666187,0.23012356108545207
28.946108139612875,-10.205594186794473,95.79782905490272,0.0,-96.0026492821799,-94.4715535209038,0.0,0.0,-75.93585979536257,-22.830769034181266,-98.76662882954383,-0.2275939943156846
28.948682280551704,-10.206580530285546,95.80191799801734,0.0,-96.00266181396323,-94.47564471237314,0.0,0.0,-75.93428677805286,-22.83075705422982,-98.76504383228269,-0.22815290145765665
1.2404561434669006,-0.44417053987079125,1.9980397466456603,0.0,-0.5006242860362817,-2.0283712795724416,0.0,0.0,0.265329784633046,-0.08856027994325533,0.1767695046897907,0.2280649136085534
1.2419701164244692,-0.44307711418873896,2.001259320656052,0.0,-0.5006349587534846,-2.0300982685896365,0.0,0.0,0.2694190955486615,-0.08854859084067157,0.18087050470798993,0.2325021611275292
28.94679038406838,-10.205149963364349,95.79945444500504,0.0,-96.00264927330123,-94.47244863512616,0.0,0.0,-75.93400304271832,-22.830769034181273,-98.76477207689959,-0.22594697023567
28.948605419930168,-10.207316003080917,95.80130783168042,0.0,-96.00266185372388,-94.4757977678565,0.0,0.0,-75.93586237305072,-22.830757054229814,-98.76661942728055,-0.23038513701912144
1.241068604345319,-0.4443321385434566,1.9989179493821538,0.0,-0.5006242951509274,-2.029281342077133,0.0,0.0,0.26574877795595553,-0.0885602799432541,0.17718849801270142,0.22777821015044508
1.241865887406003,-0.44319648611294304,2.0012643337872147,0.0,-0.5006349610495998,-2.0301144016136132,0.0,0.0,0.2691843724170617,-0.08854859084067224,0.1806357815763895,0.23212406035586952
28.946473695348573,-10.204964257713101,95.79888048172555,0.0,-96.0026492697254,-94.47186081253676,0.0,0.0,-75.93412016290114,-22.830769034181266,-98.7648891970824,-0.2254826325787409
28.94852817578996,-10.207299435059813,95.80119039019414,0.0,-96.00266183207731,-94.47567761370257,0.0,0.0,-75.9359203148556,-22.830757054229814,-98.76667736908541,-0.2303632720965556
1.2410543934604839,-0.44291246677532253,1.9999858447431216,0.0,-0.5006242823255819,-2.0288373831450626,0.0,0.0,0.26866610595763873,-0.08856027994325344,0.1801058260143853,0.23212201475870564
1.241520232245939,-0.4444239917284212,1.9995561782438909,0.0,-0.5006349633850462,-2.0298971315651952,0.0,0.0,0.2661203238111671,-0.08854859084067124,0.1775717329704959,0.228260160903632
28.946436304987408,-10.206574991937327,95.79793227481488,0.0,-96.0026493139965,-94.47244588331628,0.0,0.0,-75.93730160944781,-22.830769034181273,-98.76807064362909,-0.2303612248304301
28.948933674420317,-10.205885910891086,95.80279136812699,0.0,-96.00266182697641,-94.47576365412573,0.0,0.0,-75.93258634944591,-22.830757054229807,-98.76334340367572,-0.22596456893366224
1.2416667978335783,-0.4430788608630428,2.000853273973543,0.0,-0.5006242937040506,-2.029743272714068,0.0,0.0,0.26907364452595983,-0.0885602799432531,0.18051336458270673,0.23182846044787853
1.2412612501187608,-0.44445265647735,1.9993072451695828,0.0,-0.5006349647268519,-2.0296379095745727,0.0,0.0,0.2658429645095688,-0.08854859084067324,0.17729437366889556,0.228066986732
28.94599630848076,-10.206300507699845,95.79716243431447,0.0,-96.00264929272944,-94.4716322962931,0.0,0.0,-75.93742335392714,-22.83076903418128,-98.76819238810842,-0.22971145846409868
28.948887857044525,-10.20587605961565,95.80272262789431,0.0,-96.00266179381774,-94.47568970107221,0.0,0.0,-75.93261706956676,-22.83075705422982,-98.76337412379658,-0.2259490427691908
1.240643466940646,-0.4435093123466573,1.9988452801353462,0.0,-0.5006242843587807,-2.028437441524546,0.0,0.0,0.2669177088460084,-0.08856027994325477,0.17835742890275363,0.23012145843613607
1.2416337128075796,-0.4437184269732806,2.000239950240667,0.0,-0.5006349611999158,-2.029830724186942,0.0,0.0,0.2676895506881083,-0.0885485908406708,0.1791409598474375,0.2304085580091465
28.946503632971808,-10.205830413461932,95.79852856469219,0.0,-96.00264929485515,-94.47228163147619,0.0,0.0,-75.93572914212928,-22.830769034181273,-98.76649817631055,-0.22815079820403916
28.9487605363809,-10.206599679842288,95.80203738244978,0.0,-96.00266184091792,-94.47576811280308,0.0,0.0,-75.9342317147326,-22.830757054229814,-98.76498876896241,-0.2281715138792073
1.2412577436952215,-0.4436739214752596,1.9997205695852909,0.0,-0.5006242947036872,-2.029347968851601,0.0,0.0,0.2673321282499641,-0.08856027994325344,0.17877184830671067,0.22983093914344688
